spatial,temporal,interest,observation,reference
Michoac�n de Ocampo.Uruapan,2021,Hombres.45_64.U071,-,10K
Michoac�n de Ocampo.Uruapan,2021,Mujeres.45_64.U071,-,10K
Michoac�n de Ocampo.Uruapan,2021,Hombres.45_64.U072,-,10K
Michoac�n de Ocampo.Uruapan,2021,Mujeres.45_64.U072,-,10K
Michoac�n de Ocampo.Zamora,2021,Hombres.45_64.U071,-,10K
Michoac�n de Ocampo.Zamora,2021,Mujeres.45_64.U071,-,10K
Michoac�n de Ocampo.Zamora,2021,Hombres.45_64.U072,-,10K
Michoac�n de Ocampo.Zamora,2021,Mujeres.45_64.U072,-,10K
Michoac�n de Ocampo.Zitácuaro,2021,Hombres.45_64.U071,-,10K
Michoac�n de Ocampo.Zitácuaro,2021,Mujeres.45_64.U071,-,10K
Michoac�n de Ocampo.Zitácuaro,2021,Hombres.45_64.U072,-,10K
Michoac�n de Ocampo.Zitácuaro,2021,Mujeres.45_64.U072,-,10K
Morelos.Cuautla,2021,Hombres.45_64.U071,-,10K
Morelos.Cuautla,2021,Mujeres.45_64.U071,-,10K
Morelos.Cuautla,2021,Hombres.45_64.U072,-,10K
Morelos.Cuautla,2021,Mujeres.45_64.U072,-,10K
Morelos.Cuernavaca,2021,Hombres.45_64.U071,-,10K
Morelos.Cuernavaca,2021,Mujeres.45_64.U071,-,10K
Morelos.Cuernavaca,2021,Hombres.45_64.U072,-,10K
Morelos.Cuernavaca,2021,Mujeres.45_64.U072,-,10K
Morelos.Emiliano Zapata,2021,Mujeres.45_64.U071,-,10K
Morelos.Emiliano Zapata,2021,Mujeres.45_64.U072,-,10K
Morelos.Jiutepec,2021,Hombres.45_64.U071,-,10K
Morelos.Jiutepec,2021,Hombres.45_64.U072,-,10K
Morelos.Jiutepec,2021,Mujeres.45_64.U072,-,10K
Morelos.Temixco,2021,Hombres.45_64.U071,-,10K
Morelos.Temixco,2021,Mujeres.45_64.U071,-,10K
Morelos.Temixco,2021,Hombres.45_64.U072,-,10K
Morelos.Temixco,2021,Mujeres.45_64.U072,-,10K
Morelos.Yautepec,2021,Hombres.45_64.U071,-,10K
Morelos.Yautepec,2021,Mujeres.45_64.U071,-,10K
Morelos.Yautepec,2021,Hombres.45_64.U072,-,10K
Morelos.Yautepec,2021,Mujeres.45_64.U072,-,10K
Nayarit.Santiago Ixcuintla,2021,Hombres.45_64.U071,-,10K
Nayarit.Santiago Ixcuintla,2021,Mujeres.45_64.U071,-,10K
Nayarit.Santiago Ixcuintla,2021,Hombres.45_64.U072,-,10K
Nayarit.Santiago Ixcuintla,2021,Mujeres.45_64.U072,-,10K
Nayarit.Tepic,2021,Hombres.45_64.U071,-,10K
Nayarit.Tepic,2021,Mujeres.45_64.U071,-,10K
Nayarit.Tepic,2021,Hombres.45_64.U072,-,10K
Nayarit.Tepic,2021,Mujeres.45_64.U072,-,10K
Nayarit.Tepic,2021,Hombres.45_64.U109,-,10K
Nayarit.Bahía de Banderas,2021,Hombres.45_64.U071,-,10K
Nayarit.Bahía de Banderas,2021,Mujeres.45_64.U071,-,10K
Nayarit.Bahía de Banderas,2021,Hombres.45_64.U072,-,10K
Nayarit.Bahía de Banderas,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.Apodaca,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.Apodaca,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.Apodaca,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.Apodaca,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.Cadereyta Jiménez,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.Cadereyta Jiménez,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.Cadereyta Jiménez,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.Cadereyta Jiménez,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.García,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.García,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.García,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.García,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.San Pedro Garza García,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.San Pedro Garza García,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.San Pedro Garza García,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.General Escobedo,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.General Escobedo,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.General Escobedo,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.General Escobedo,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.Guadalupe,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.Guadalupe,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.Guadalupe,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.Guadalupe,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.Juárez,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.Juárez,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.Juárez,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.Juárez,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.San Nicolás de los Garza,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.San Nicolás de los Garza,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.San Nicolás de los Garza,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.San Nicolás de los Garza,2021,Mujeres.45_64.U072,-,10K
Nuevo Le�n.Santa Catarina,2021,Hombres.45_64.U071,-,10K
Nuevo Le�n.Santa Catarina,2021,Mujeres.45_64.U071,-,10K
Nuevo Le�n.Santa Catarina,2021,Hombres.45_64.U072,-,10K
Nuevo Le�n.Santa Catarina,2021,Mujeres.45_64.U072,-,10K
Oaxaca.Heroica Ciudad de Juchitán de Zaragoza,2021,Hombres.45_64.U071,-,10K
Oaxaca.Heroica Ciudad de Juchitán de Zaragoza,2021,Mujeres.45_64.U071,-,10K
Oaxaca.Heroica Ciudad de Juchitán de Zaragoza,2021,Hombres.45_64.U072,-,10K
Oaxaca.Heroica Ciudad de Juchitán de Zaragoza,2021,Mujeres.45_64.U072,-,10K
Oaxaca.Oaxaca de Juárez,2021,Hombres.45_64.U071,-,10K
Oaxaca.Oaxaca de Juárez,2021,Mujeres.45_64.U071,-,10K
Oaxaca.Oaxaca de Juárez,2021,Hombres.45_64.U072,-,10K
Oaxaca.Oaxaca de Juárez,2021,Mujeres.45_64.U072,-,10K
Oaxaca.Salina Cruz,2021,Hombres.45_64.U071,-,10K
Oaxaca.Salina Cruz,2021,Mujeres.45_64.U071,-,10K
Oaxaca.Salina Cruz,2021,Hombres.45_64.U072,-,10K
Oaxaca.Salina Cruz,2021,Mujeres.45_64.U072,-,10K
Oaxaca.San Juan Bautista Tuxtepec,2021,Hombres.45_64.U071,-,10K
Oaxaca.San Juan Bautista Tuxtepec,2021,Mujeres.45_64.U071,-,10K
Oaxaca.San Juan Bautista Tuxtepec,2021,Hombres.45_64.U072,-,10K
Oaxaca.San Juan Bautista Tuxtepec,2021,Mujeres.45_64.U072,-,10K
Puebla.Atlixco,2021,Hombres.45_64.U071,-,10K
Puebla.Atlixco,2021,Mujeres.45_64.U071,-,10K
Puebla.Atlixco,2021,Hombres.45_64.U072,-,10K
Puebla.Atlixco,2021,Mujeres.45_64.U072,-,10K
Puebla.Cuautlancingo,2021,Hombres.45_64.U071,-,10K
Puebla.Cuautlancingo,2021,Hombres.45_64.U072,-,10K
Puebla.Cuautlancingo,2021,Mujeres.45_64.U072,-,10K
Puebla.Huauchinango,2021,Mujeres.45_64.U071,-,10K
Puebla.Huauchinango,2021,Mujeres.45_64.U072,-,10K
Puebla.San Andrés Cholula,2021,Hombres.45_64.U071,-,10K
Puebla.San Andrés Cholula,2021,Mujeres.45_64.U071,-,10K
Puebla.San Andrés Cholula,2021,Hombres.45_64.U072,-,10K
Puebla.San Andrés Cholula,2021,Mujeres.45_64.U072,-,10K
Puebla.San Martín Texmelucan,2021,Hombres.45_64.U071,-,10K
Puebla.San Martín Texmelucan,2021,Mujeres.45_64.U071,-,10K
Puebla.San Martín Texmelucan,2021,Hombres.45_64.U072,-,10K
Puebla.San Martín Texmelucan,2021,Mujeres.45_64.U072,-,10K
Puebla.San Pedro Cholula,2021,Hombres.45_64.U071,-,10K
Puebla.San Pedro Cholula,2021,Hombres.45_64.U072,-,10K
Puebla.San Pedro Cholula,2021,Mujeres.45_64.U072,-,10K
Puebla.Tehuacán,2021,Hombres.45_64.U071,-,10K
Puebla.Tehuacán,2021,Mujeres.45_64.U071,-,10K
Puebla.Tehuacán,2021,Hombres.45_64.U072,-,10K
Puebla.Tehuacán,2021,Mujeres.45_64.U072,-,10K
Puebla.Teziutlán,2021,Mujeres.45_64.U071,-,10K
Puebla.Teziutlán,2021,Mujeres.45_64.U072,-,10K
Quer�taro.Corregidora,2021,Hombres.45_64.U071,-,10K
Quer�taro.Corregidora,2021,Mujeres.45_64.U071,-,10K
Quer�taro.Corregidora,2021,Hombres.45_64.U072,-,10K
Quer�taro.Corregidora,2021,Mujeres.45_64.U072,-,10K
Quer�taro.El Marqués,2021,Hombres.45_64.U071,-,10K
Quer�taro.El Marqués,2021,Mujeres.45_64.U071,-,10K
Quer�taro.El Marqués,2021,Hombres.45_64.U072,-,10K
Quer�taro.El Marqués,2021,Mujeres.45_64.U072,-,10K
Quer�taro.Querétaro,2021,Hombres.45_64.U071,-,10K
Quer�taro.Querétaro,2021,Hombres.45_64.U072,-,10K
Quer�taro.Querétaro,2021,Hombres.45_64.U109,-,10K
Quer�taro.San Juan del Río,2021,Hombres.45_64.U071,-,10K
Quer�taro.San Juan del Río,2021,Mujeres.45_64.U071,-,10K
Quer�taro.San Juan del Río,2021,Hombres.45_64.U072,-,10K
Quer�taro.San Juan del Río,2021,Mujeres.45_64.U072,-,10K
Quer�taro.San Juan del Río,2021,Hombres.45_64.U109,-,10K
Quintana Roo.Cozumel,2021,Hombres.45_64.U071,-,10K
Quintana Roo.Cozumel,2021,Mujeres.45_64.U071,-,10K
Quintana Roo.Cozumel,2021,Hombres.45_64.U072,-,10K
Quintana Roo.Cozumel,2021,Mujeres.45_64.U072,-,10K
Quintana Roo.Othón P. Blanco,2021,Hombres.45_64.U071,-,10K
Quintana Roo.Othón P. Blanco,2021,Mujeres.45_64.U071,-,10K
Quintana Roo.Othón P. Blanco,2021,Hombres.45_64.U072,-,10K
Quintana Roo.Othón P. Blanco,2021,Mujeres.45_64.U072,-,10K
Quintana Roo.Benito Juárez,2021,Hombres.45_64.U071,-,10K
Quintana Roo.Benito Juárez,2021,Mujeres.45_64.U071,-,10K
Quintana Roo.Benito Juárez,2021,Hombres.45_64.U072,-,10K
Quintana Roo.Benito Juárez,2021,Mujeres.45_64.U072,-,10K
Quintana Roo.Solidaridad,2021,Hombres.45_64.U071,-,10K
Quintana Roo.Solidaridad,2021,Mujeres.45_64.U071,-,10K
Quintana Roo.Solidaridad,2021,Hombres.45_64.U072,-,10K
Quintana Roo.Solidaridad,2021,Mujeres.45_64.U072,-,10K
San Luis Potos�.Ciudad Valles,2021,Hombres.45_64.U071,-,10K
San Luis Potos�.Ciudad Valles,2021,Mujeres.45_64.U071,-,10K
San Luis Potos�.Ciudad Valles,2021,Hombres.45_64.U072,-,10K
San Luis Potos�.Ciudad Valles,2021,Mujeres.45_64.U072,-,10K
San Luis Potos�.Matehuala,2021,Mujeres.45_64.U071,-,10K
San Luis Potos�.Matehuala,2021,Mujeres.45_64.U072,-,10K
San Luis Potos�.Rioverde,2021,Mujeres.45_64.U071,-,10K
San Luis Potos�.Rioverde,2021,Mujeres.45_64.U072,-,10K
San Luis Potos�.San Luis Potosí,2021,Hombres.45_64.U071,-,10K
San Luis Potos�.San Luis Potosí,2021,Mujeres.45_64.U071,-,10K
San Luis Potos�.San Luis Potosí,2021,Hombres.45_64.U072,-,10K
San Luis Potos�.San Luis Potosí,2021,Mujeres.45_64.U072,-,10K
San Luis Potos�.San Luis Potosí,2021,Hombres.45_64.U109,-,10K
San Luis Potos�.San Luis Potosí,2021,Mujeres.45_64.U109,-,10K
San Luis Potos�.Soledad de Graciano Sánchez,2021,Hombres.45_64.U071,-,10K
San Luis Potos�.Soledad de Graciano Sánchez,2021,Mujeres.45_64.U071,-,10K
San Luis Potos�.Soledad de Graciano Sánchez,2021,Hombres.45_64.U072,-,10K
San Luis Potos�.Soledad de Graciano Sánchez,2021,Mujeres.45_64.U072,-,10K
Sinaloa.Ahome,2021,Hombres.45_64.U071,-,10K
Sinaloa.Ahome,2021,Mujeres.45_64.U071,-,10K
Sinaloa.Ahome,2021,Hombres.45_64.U072,-,10K
Sinaloa.Ahome,2021,Mujeres.45_64.U072,-,10K
Sinaloa.Culiacán,2021,Hombres.45_64.U071,-,10K
Sinaloa.Culiacán,2021,Hombres.45_64.U072,-,10K
Sinaloa.Culiacán,2021,Hombres.45_64.U109,-,10K
Sinaloa.El Fuerte,2021,Hombres.45_64.U071,-,10K
Sinaloa.El Fuerte,2021,Mujeres.45_64.U071,-,10K
Sinaloa.El Fuerte,2021,Hombres.45_64.U072,-,10K
Sinaloa.Guasave,2021,Hombres.45_64.U071,-,10K
Sinaloa.Guasave,2021,Mujeres.45_64.U071,-,10K
Sinaloa.Guasave,2021,Hombres.45_64.U072,-,10K
Sinaloa.Mazatlán,2021,Hombres.45_64.U071,-,10K
Sinaloa.Mazatlán,2021,Mujeres.45_64.U071,-,10K
Sinaloa.Mazatlán,2021,Hombres.45_64.U072,-,10K
Sinaloa.Mazatlán,2021,Mujeres.45_64.U072,-,10K
Sinaloa.Navolato,2021,Hombres.45_64.U071,-,10K
Sinaloa.Navolato,2021,Mujeres.45_64.U071,-,10K
Sinaloa.Navolato,2021,Hombres.45_64.U072,-,10K
Sinaloa.Navolato,2021,Mujeres.45_64.U072,-,10K
Sonora.Cajeme,2021,Hombres.45_64.U071,-,10K
Sonora.Cajeme,2021,Mujeres.45_64.U071,-,10K
Sonora.Cajeme,2021,Hombres.45_64.U072,-,10K
Sonora.Cajeme,2021,Mujeres.45_64.U072,-,10K
Sonora.Guaymas,2021,Hombres.45_64.U071,-,10K
Sonora.Guaymas,2021,Mujeres.45_64.U071,-,10K
Sonora.Guaymas,2021,Hombres.45_64.U072,-,10K
Sonora.Guaymas,2021,Mujeres.45_64.U072,-,10K
Sonora.Hermosillo,2021,Hombres.45_64.U071,-,10K
Sonora.Hermosillo,2021,Mujeres.45_64.U071,-,10K
Sonora.Hermosillo,2021,Hombres.45_64.U072,-,10K
Sonora.Hermosillo,2021,Mujeres.45_64.U072,-,10K
Sonora.Huatabampo,2021,Hombres.45_64.U071,-,10K
Sonora.Huatabampo,2021,Mujeres.45_64.U071,-,10K
Sonora.Navojoa,2021,Hombres.45_64.U071,-,10K
Sonora.Navojoa,2021,Mujeres.45_64.U071,-,10K
Sonora.Navojoa,2021,Hombres.45_64.U072,-,10K
Sonora.Navojoa,2021,Mujeres.45_64.U072,-,10K
Sonora.Nogales,2021,Hombres.45_64.U071,-,10K
Sonora.Nogales,2021,Mujeres.45_64.U071,-,10K
Sonora.Nogales,2021,Hombres.45_64.U072,-,10K
Sonora.Nogales,2021,Mujeres.45_64.U072,-,10K
Sonora.San Luis Río Colorado,2021,Hombres.45_64.U071,-,10K
Sonora.San Luis Río Colorado,2021,Mujeres.45_64.U071,-,10K
Sonora.San Luis Río Colorado,2021,Hombres.45_64.U072,-,10K
Sonora.San Luis Río Colorado,2021,Mujeres.45_64.U072,-,10K
Tabasco.Cárdenas,2021,Hombres.45_64.U071,-,10K
Tabasco.Cárdenas,2021,Mujeres.45_64.U071,-,10K
Tabasco.Cárdenas,2021,Hombres.45_64.U072,-,10K
Tabasco.Cárdenas,2021,Mujeres.45_64.U072,-,10K
Tabasco.Centla,2021,Hombres.45_64.U071,-,10K
Tabasco.Centla,2021,Hombres.45_64.U072,-,10K
Tabasco.Centla,2021,Mujeres.45_64.U072,-,10K
Tabasco.Centro,2021,Hombres.45_64.U071,-,10K
Tabasco.Centro,2021,Mujeres.45_64.U071,-,10K
Tabasco.Centro,2021,Hombres.45_64.U072,-,10K
Tabasco.Centro,2021,Mujeres.45_64.U072,-,10K
Tabasco.Comalcalco,2021,Hombres.45_64.U071,-,10K
Tabasco.Comalcalco,2021,Mujeres.45_64.U071,-,10K
Tabasco.Comalcalco,2021,Hombres.45_64.U072,-,10K
Tabasco.Comalcalco,2021,Mujeres.45_64.U072,-,10K
Tabasco.Cunduacán,2021,Hombres.45_64.U071,-,10K
Tabasco.Cunduacán,2021,Mujeres.45_64.U071,-,10K
Tabasco.Cunduacán,2021,Mujeres.45_64.U072,-,10K
Tabasco.Huimanguillo,2021,Hombres.45_64.U071,-,10K
Tabasco.Huimanguillo,2021,Mujeres.45_64.U071,-,10K
Tabasco.Huimanguillo,2021,Hombres.45_64.U072,-,10K
Tabasco.Huimanguillo,2021,Mujeres.45_64.U072,-,10K
Tabasco.Macuspana,2021,Hombres.45_64.U071,-,10K
Tabasco.Macuspana,2021,Mujeres.45_64.U071,-,10K
Tabasco.Macuspana,2021,Hombres.45_64.U072,-,10K
Tabasco.Macuspana,2021,Mujeres.45_64.U072,-,10K
Tabasco.Nacajuca,2021,Hombres.45_64.U071,-,10K
Tabasco.Nacajuca,2021,Mujeres.45_64.U071,-,10K
Tabasco.Nacajuca,2021,Mujeres.45_64.U072,-,10K
Tabasco.Paraíso,2021,Hombres.45_64.U071,-,10K
Tabasco.Paraíso,2021,Mujeres.45_64.U071,-,10K
Tabasco.Paraíso,2021,Hombres.45_64.U072,-,10K
Tabasco.Paraíso,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Altamira,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Altamira,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Altamira,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Altamira,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Ciudad Madero,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Ciudad Madero,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Ciudad Madero,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Ciudad Madero,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.El Mante,2021,Hombres.45_64.U071,-,10K
Tamaulipas.El Mante,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.El Mante,2021,Hombres.45_64.U072,-,10K
Tamaulipas.El Mante,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Matamoros,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Matamoros,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Matamoros,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Matamoros,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Nuevo Laredo,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Nuevo Laredo,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Nuevo Laredo,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Nuevo Laredo,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Reynosa,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Reynosa,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Reynosa,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Reynosa,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Río Bravo,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Río Bravo,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Río Bravo,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Tampico,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Tampico,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Tampico,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Tampico,2021,Mujeres.45_64.U072,-,10K
Tamaulipas.Tampico,2021,Hombres.45_64.U109,-,10K
Tamaulipas.Tampico,2021,Mujeres.45_64.U109,-,10K
Tamaulipas.Victoria,2021,Hombres.45_64.U071,-,10K
Tamaulipas.Victoria,2021,Mujeres.45_64.U071,-,10K
Tamaulipas.Victoria,2021,Hombres.45_64.U072,-,10K
Tamaulipas.Victoria,2021,Mujeres.45_64.U072,-,10K
Tlaxcala.Apizaco,2021,Mujeres.45_64.U071,-,10K
Tlaxcala.Tlaxcala,2021,Hombres.45_64.U071,-,10K
Tlaxcala.Tlaxcala,2021,Mujeres.45_64.U071,-,10K
Tlaxcala.Tlaxcala,2021,Hombres.45_64.U072,-,10K
Tlaxcala.Tlaxcala,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Acayucan,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Boca del Río,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Boca del Río,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Boca del Río,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Boca del Río,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Coatzacoalcos,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Coatzacoalcos,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Coatzacoalcos,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Coatzacoalcos,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Córdoba,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Córdoba,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Córdoba,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Córdoba,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Cosoleacaque,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Cosoleacaque,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Cosoleacaque,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Cosoleacaque,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Xalapa,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Xalapa,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Xalapa,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Xalapa,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Martínez de la Torre,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Martínez de la Torre,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Martínez de la Torre,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Martínez de la Torre,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Minatitlán,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Minatitlán,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Minatitlán,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Minatitlán,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Orizaba,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Orizaba,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Orizaba,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Orizaba,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Pánuco,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Pánuco,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Pánuco,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Pánuco,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Papantla,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Papantla,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Papantla,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Papantla,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Poza Rica de Hidalgo,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Poza Rica de Hidalgo,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Poza Rica de Hidalgo,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Poza Rica de Hidalgo,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.San Andrés Tuxtla,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.San Andrés Tuxtla,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.San Andrés Tuxtla,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.San Andrés Tuxtla,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tantoyuca,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tantoyuca,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tantoyuca,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tantoyuca,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Álamo Temapache,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Álamo Temapache,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Álamo Temapache,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Álamo Temapache,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tierra Blanca,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tierra Blanca,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tierra Blanca,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tierra Blanca,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tihuatlán,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tihuatlán,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tuxpan,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tuxpan,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Tuxpan,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Tuxpan,2021,Mujeres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Veracruz,2021,Hombres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Veracruz,2021,Mujeres.45_64.U071,-,10K
Veracruz de Ignacio de la Llave.Veracruz,2021,Hombres.45_64.U072,-,10K
Veracruz de Ignacio de la Llave.Veracruz,2021,Mujeres.45_64.U072,-,10K
Zacatecas.Fresnillo,2021,Hombres.45_64.U071,-,10K
Zacatecas.Fresnillo,2021,Mujeres.45_64.U071,-,10K
Zacatecas.Fresnillo,2021,Hombres.45_64.U072,-,10K
Zacatecas.Fresnillo,2021,Mujeres.45_64.U072,-,10K
Zacatecas.Guadalupe,2021,Hombres.45_64.U071,-,10K
Zacatecas.Guadalupe,2021,Mujeres.45_64.U071,-,10K
Zacatecas.Guadalupe,2021,Hombres.45_64.U072,-,10K
Zacatecas.Guadalupe,2021,Mujeres.45_64.U072,-,10K
Zacatecas.Zacatecas,2021,Hombres.45_64.U071,-,10K
